Transaction Code,Transaction Description,Transaction Category,Posting date,Transaction Date,Merchant Info DBA Name,Transaction Amount,Debit or Credit,Merchant Category Code,Merchant City,Merchant Country,Merchant Postal,Merchant State,Conversion Rate
3001,TRUCKPARKINGCLUB.COM ONLINE,500,2026-01-13,2026-01-13,TRUCKPARKINGCLUB.COM,45.65,Debit,7523,ONLINE,USA,00000,NA,1.38
3001,TRUCKPARKINGCLUB.COM ONLINE,500,2026-01-13,2026-01-13,TRUCKPARKINGCLUB.COM,45.65,Debit,7523,ONLINE,USA,00000,NA,1.38
3001,TRUCKPARKINGCLUB.COM ONLINE,500,2026-01-13,2026-01-13,TRUCKPARKINGCLUB.COM,45.65,Debit,7523,ONLINE,USA,00000,NA,1.38
3001,SAFETY SUPPLY CO TORONTO ON,600,2026-01-14,2026-01-14,SAFETY SUPPLY CO,182.40,Debit,5046,TORONTO,CAN,M5J,ON,0
3001,DATA CONNECT SERVICES VANCOUVER BC,700,2026-01-15,2026-01-15,DATA CONNECT SERVICES,129.99,Debit,4816,VANCOUVER,CAN,V6B,BC,0
3001,DATA CONNECT SERVICES VANCOUVER BC,700,2026-01-15,2026-01-15,DATA CONNECT SERVICES,129.99,Debit,4816,VANCOUVER,CAN,V6B,BC,0
3001,ROADSIDE REPAIR MOBILE ND,400,2026-01-16,2026-01-16,ROADSIDE REPAIR MOBILE,785.10,Debit,7538,FARGO,USA,58102,ND,1.38
3001,HOTEL HIGHWAY INN BILLINGS MT,800,2026-01-17,2026-01-17,HOTEL HIGHWAY INN,142.55,Debit,7011,BILLINGS,USA,59101,MT,1.38
3001,TEAM DINER LAREDO TX,900,2026-01-18,2026-01-18,TEAM DINER,89.45,Debit,5812,LAREDO,USA,78040,TX,1.38
3001,COFFEE STOP LAREDO TX,900,2026-01-18,2026-01-18,COFFEE STOP,12.30,Debit,5814,LAREDO,USA,78040,TX,1.38
3001,OFFICE SUPPLY DEPOT MONTREAL QC,600,2026-01-19,2026-01-19,OFFICE SUPPLY DEPOT,73.25,Debit,5943,MONTREAL,CAN,H3B,QC,0
3001,LOW VALUE PERMIT OFFICE ND,200,2026-01-20,2026-01-20,LOW VALUE PERMIT OFFICE,22.00,Debit,9399,FARGO,USA,58102,ND,1.38
3001,LOW VALUE PERMIT OFFICE ND,200,2026-01-20,2026-01-20,LOW VALUE PERMIT OFFICE,22.00,Debit,9399,FARGO,USA,58102,ND,1.38
3001,BRIDGE TOLL AUTHORITY DETROIT MI,200,2026-01-21,2026-01-21,BRIDGE TOLL AUTHORITY,18.75,Debit,4784,DETROIT,USA,48201,MI,1.38
3001,BRIDGE TOLL AUTHORITY DETROIT MI,200,2026-01-21,2026-01-21,BRIDGE TOLL AUTHORITY,18.75,Debit,4784,DETROIT,USA,48201,MI,1.38
3001,SECURE PARKING LOT CHICAGO IL,500,2026-01-22,2026-01-22,SECURE PARKING LOT,38.00,Debit,7523,CHICAGO,USA,60601,IL,1.38
3001,SECURE PARKING LOT CHICAGO IL,500,2026-01-22,2026-01-22,SECURE PARKING LOT,38.00,Debit,7523,CHICAGO,USA,60601,IL,1.38
3001,EQUIPMENT RENTAL NORTH BAY ON,600,2026-01-23,2026-01-23,EQUIPMENT RENTAL,620.00,Debit,7394,NORTH BAY,CAN,P1B,ON,0
3001,MICHELIN DEMO SUPPLIER MONTREAL QC,400,2026-01-24,2026-01-24,MICHELIN DEMO SUPPLIER,3500.00,Debit,5532,MONTREAL,CAN,H3B,QC,0
3001,MICHELIN DEMO SUPPLIER MONTREAL QC,400,2026-01-25,2026-01-25,MICHELIN DEMO SUPPLIER,2800.00,Debit,5532,MONTREAL,CAN,H3B,QC,0
3001,STATEMENT FEE,0,2026-01-26,2026-01-26,,35.00,Debit,,TORONTO,CAN,M5J,ON,0
3001,CWB EFT PAYMENT,0,2026-01-27,2026-01-27,,5000.00,Credit,,TORONTO,CAN,M5J,ON,0
3001,POINTS REDEMPTION,0,2026-01-28,2026-01-28,,120.00,Credit,,TORONTO,CAN,M5J,ON,0
3001,INTEREST CHARGE,0,2026-01-29,2026-01-29,,44.12,Debit,,TORONTO,CAN,M5J,ON,0
3001,LOVE'S TRAVEL STOP 900 TULSA OK,100,2026-01-30,2026-01-30,LOVE'S TRAVEL STOP 900,402.66,Debit,5542,TULSA,USA,74101,OK,1.38
3001,PILOT TRAVEL CENTER 880 DALLAS TX,100,2026-01-31,2026-01-31,PILOT TRAVEL CENTER 880,377.84,Debit,5542,DALLAS,USA,75201,TX,1.38
